incident_key,customer_id,merchant_id,amount_minor,currency,payment_method,customer_segment,failure_category,previous_successes,previous_failures,contact_history,latent_recoverability,time_to_funds_hours,unrecoverable,detected_at
inc-65,cust_1128,mch_demo,16887900,INR,card,STANDARD,INSUFFICIENT_FUNDS,14,5,0,0.6392,71.97,False,2026-08-09T03:03:42.131498+00:00
inc-66,cust_1092,mch_demo,37387600,INR,card,VIP,CARD_BLOCKED,31,0,3,0.4088,28.97,False,2026-08-16T02:03:42.131498+00:00
inc-67,cust_1210,mch_demo,1287300,INR,card,VIP,MANDATE_FAILURE,18,5,3,0.5186,59.7,False,2026-08-15T00:03:42.131498+00:00
inc-68,cust_1442,mch_demo,13126900,INR,card,STANDARD,NETWORK_TIMEOUT,34,3,3,0.3278,9.58,False,2026-08-13T10:03:42.131498+00:00
inc-69,cust_1389,mch_demo,10117600,INR,card,STANDARD,MANDATE_FAILURE,17,4,1,0.4924,67.23,False,2026-08-12T14:03:42.131498+00:00
inc-70,cust_1363,mch_demo,5506000,INR,upi,PREMIUM,INSUFFICIENT_FUNDS,35,0,3,0.6852,12.15,False,2026-08-16T22:03:42.131498+00:00
inc-71,cust_1255,mch_demo,181000,INR,card,PREMIUM,AUTHENTICATION_FAILURE,32,5,2,0.6709,33.42,False,2026-08-18T18:03:42.131498+00:00
inc-72,cust_1260,mch_demo,8711900,INR,card,STANDARD,PROCESSOR_ERROR,4,2,3,0.2296,28.43,False,2026-08-09T06:03:42.131498+00:00
inc-73,cust_1428,mch_demo,9888800,INR,card,VIP,NETWORK_TIMEOUT,9,3,3,0.6013,28.78,False,2026-08-15T16:03:42.131498+00:00
inc-74,cust_1292,mch_demo,12617800,INR,wallet,STANDARD,MANDATE_FAILURE,26,0,2,0.6283,55.15,False,2026-08-16T22:03:42.131498+00:00
inc-75,cust_1077,mch_demo,44179800,INR,wallet,STANDARD,CHECKOUT_ABANDONED,8,4,2,0.3623,63.4,False,2026-08-08T03:03:42.131498+00:00
inc-76,cust_1038,mch_demo,6067600,INR,wallet,PREMIUM,INSUFFICIENT_FUNDS,21,4,3,0.5473,48.89,False,2026-08-18T17:03:42.131498+00:00
inc-77,cust_1446,mch_demo,1731700,INR,card,STANDARD,PROCESSOR_ERROR,39,0,1,0.359,47.66,False,2026-08-11T15:03:42.131498+00:00
inc-78,cust_1227,mch_demo,1498400,INR,upi,PREMIUM,CHECKOUT_ABANDONED,1,0,2,0.6881,58.55,False,2026-08-19T21:03:42.131498+00:00
inc-79,cust_1210,mch_demo,1245800,INR,card,STANDARD,MANDATE_FAILURE,10,1,0,0.3562,46.23,False,2026-08-10T17:03:42.131498+00:00
inc-80,cust_1235,mch_demo,2337200,INR,netbanking,STANDARD,UNKNOWN,29,2,1,0.2287,10.87,False,2026-08-16T14:03:42.131498+00:00
inc-81,cust_1233,mch_demo,1878100,INR,netbanking,STANDARD,UNKNOWN,24,3,0,0.3145,21.66,False,2026-08-16T16:03:42.131498+00:00
inc-82,cust_1140,mch_demo,14046400,INR,card,STANDARD,NETWORK_TIMEOUT,38,5,3,0.1621,60.97,False,2026-08-13T14:03:42.131498+00:00
inc-83,cust_1097,mch_demo,1347200,INR,card,PREMIUM,BANK_DECLINE,8,5,0,0.4839,65.62,False,2026-08-08T11:03:42.131498+00:00
inc-84,cust_1465,mch_demo,30127400,INR,netbanking,PREMIUM,INSUFFICIENT_FUNDS,26,1,1,0.4688,14.72,False,2026-08-20T02:03:42.131498+00:00
inc-85,cust_1131,mch_demo,13148200,INR,wallet,PREMIUM,MANDATE_FAILURE,21,0,3,0.442,69.55,False,2026-08-18T12:03:42.131498+00:00
inc-86,cust_1046,mch_demo,250400,INR,wallet,STANDARD,CHECKOUT_ABANDONED,16,4,0,0.682,36.02,False,2026-08-14T05:03:42.131498+00:00
inc-87,cust_1055,mch_demo,31997500,INR,card,STANDARD,NETWORK_TIMEOUT,30,0,2,0.4715,66.41,False,2026-08-14T02:03:42.131498+00:00
inc-88,cust_1059,mch_demo,718100,INR,upi,STANDARD,AUTHENTICATION_FAILURE,2,2,3,0.6502,13.66,False,2026-08-13T07:03:42.131498+00:00
inc-89,cust_1214,mch_demo,690700,INR,card,STANDARD,PROCESSOR_ERROR,26,5,0,0.2246,61.02,False,2026-08-10T12:03:42.131498+00:00
inc-90,cust_1486,mch_demo,15052100,INR,upi,PREMIUM,INSUFFICIENT_FUNDS,6,5,2,0.5297,41.93,False,2026-08-12T13:03:42.131498+00:00
inc-91,cust_1485,mch_demo,29028300,INR,wallet,STANDARD,MANDATE_FAILURE,13,5,0,0.1833,9.34,False,2026-08-19T10:03:42.131498+00:00
inc-92,cust_1106,mch_demo,1503600,INR,card,STANDARD,UNKNOWN,14,2,1,0.2629,58.05,False,2026-08-10T05:03:42.131498+00:00
inc-93,cust_1276,mch_demo,21244000,INR,netbanking,STANDARD,INSUFFICIENT_FUNDS,7,5,0,0.3025,14.7,False,2026-08-19T06:03:42.131498+00:00
inc-94,cust_1379,mch_demo,2043800,INR,wallet,STANDARD,MANDATE_FAILURE,4,3,3,0.1587,57.35,False,2026-08-19T08:03:42.131498+00:00
inc-95,cust_1022,mch_demo,9143000,INR,card,PREMIUM,UNKNOWN,29,5,0,0.21,10.01,False,2026-08-08T22:03:42.131498+00:00
inc-96,cust_1460,mch_demo,8580700,INR,card,PREMIUM,CARD_EXPIRED,38,1,0,0.4196,14.33,False,2026-08-20T11:03:42.131498+00:00
inc-97,cust_1271,mch_demo,17928200,INR,netbanking,VIP,UNKNOWN,32,4,3,0.4516,12.55,False,2026-08-09T07:03:42.131498+00:00
inc-98,cust_1454,mch_demo,49999900,INR,upi,VIP,PROCESSOR_ERROR,21,3,3,0.5465,33.46,False,2026-08-12T09:03:42.131498+00:00
inc-99,cust_1488,mch_demo,222900,INR,upi,VIP,MANDATE_FAILURE,4,0,0,0.3847,12.15,False,2026-08-14T01:03:42.131498+00:00
inc-100,cust_1287,mch_demo,199100,INR,netbanking,STANDARD,CARD_BLOCKED,26,2,3,0.456,63.29,False,2026-08-10T01:03:42.131498+00:00
inc-101,cust_1259,mch_demo,88300,INR,upi,STANDARD,NETWORK_TIMEOUT,30,1,0,0.4802,29.11,False,2026-08-09T17:03:42.131498+00:00
inc-102,cust_1498,mch_demo,10787100,INR,card,STANDARD,UNKNOWN,38,5,2,0.2744,7.91,False,2026-08-10T01:03:42.131498+00:00
inc-103,cust_1445,mch_demo,1150300,INR,upi,VIP,NETWORK_TIMEOUT,4,1,0,0.6568,12.06,False,2026-08-18T04:03:42.131498+00:00
inc-104,cust_1397,mch_demo,10272000,INR,card,STANDARD,MANDATE_FAILURE,3,1,1,0.2366,55.79,False,2026-08-15T02:03:42.131498+00:00
inc-105,cust_1310,mch_demo,112100,INR,wallet,VIP,CARD_EXPIRED,17,1,0,0.2997,28.78,False,2026-08-11T16:03:42.131498+00:00
inc-106,cust_1202,mch_demo,192400,INR,card,STANDARD,AUTHENTICATION_FAILURE,0,1,2,0.4398,68.39,False,2026-08-17T08:03:42.131498+00:00
inc-107,cust_1382,mch_demo,294000,INR,wallet,STANDARD,NETWORK_TIMEOUT,8,3,1,0.3092,39.02,True,2026-08-11T10:03:42.131498+00:00
inc-108,cust_1441,mch_demo,35561700,INR,netbanking,VIP,INSUFFICIENT_FUNDS,36,3,3,0.3899,25.11,False,2026-08-20T09:03:42.131498+00:00
inc-109,cust_1235,mch_demo,2391000,INR,card,PREMIUM,INSUFFICIENT_FUNDS,5,3,0,0.6814,22.06,False,2026-08-08T20:03:42.131498+00:00
inc-110,cust_1039,mch_demo,14409200,INR,card,STANDARD,NETWORK_TIMEOUT,33,4,1,0.5602,65.79,False,2026-08-18T10:03:42.131498+00:00
inc-111,cust_1120,mch_demo,2056700,INR,card,STANDARD,MANDATE_FAILURE,16,1,1,0.5501,45.76,False,2026-08-18T21:03:42.131498+00:00
inc-112,cust_1229,mch_demo,31563800,INR,card,PREMIUM,AUTHENTICATION_FAILURE,20,1,3,0.4052,10.51,False,2026-08-09T16:03:42.131498+00:00
inc-113,cust_1259,mch_demo,5672400,INR,card,PREMIUM,NETWORK_TIMEOUT,29,3,0,0.588,9.75,False,2026-08-14T12:03:42.131498+00:00
inc-114,cust_1297,mch_demo,1515400,INR,card,STANDARD,CARD_EXPIRED,28,4,1,0.4883,27.22,False,2026-08-12T04:03:42.131498+00:00
inc-115,cust_1415,mch_demo,8889400,INR,netbanking,STANDARD,PROCESSOR_ERROR,32,5,1,0.233,8.58,True,2026-08-19T20:03:42.131498+00:00
inc-116,cust_1198,mch_demo,44031800,INR,wallet,PREMIUM,PROCESSOR_ERROR,38,0,2,0.4854,10.35,False,2026-08-16T00:03:42.131498+00:00
inc-117,cust_1447,mch_demo,209700,INR,upi,PREMIUM,PROCESSOR_ERROR,5,4,1,0.5231,66.51,False,2026-08-09T04:03:42.131498+00:00
inc-118,cust_1158,mch_demo,1477300,INR,card,VIP,CHECKOUT_ABANDONED,21,1,0,0.2209,48.64,False,2026-08-20T05:03:42.131498+00:00
inc-119,cust_1486,mch_demo,3368800,INR,upi,PREMIUM,PROCESSOR_ERROR,31,1,1,0.349,72.0,False,2026-08-18T04:03:42.131498+00:00
inc-120,cust_1019,mch_demo,301000,INR,card,PREMIUM,CARD_EXPIRED,39,1,3,0.4292,16.18,False,2026-08-10T19:03:42.131498+00:00
inc-121,cust_1022,mch_demo,387600,INR,wallet,PREMIUM,UNKNOWN,15,3,2,0.595,55.66,False,2026-08-12T16:03:42.131498+00:00
inc-122,cust_1225,mch_demo,5044400,INR,wallet,PREMIUM,AUTHENTICATION_FAILURE,24,4,3,0.6472,69.77,False,2026-08-09T20:03:42.131498+00:00
inc-123,cust_1246,mch_demo,544000,INR,netbanking,STANDARD,UNKNOWN,33,0,2,0.2261,11.54,False,2026-08-08T08:03:42.131498+00:00
inc-124,cust_1418,mch_demo,336800,INR,wallet,PREMIUM,CARD_BLOCKED,1,3,0,0.6071,32.17,True,2026-08-17T07:03:42.131498+00:00
inc-125,cust_1014,mch_demo,2515600,INR,netbanking,STANDARD,BANK_DECLINE,21,1,1,0.3624,8.53,True,2026-08-17T06:03:42.131498+00:00
inc-126,cust_1009,mch_demo,7825400,INR,netbanking,STANDARD,AUTHENTICATION_FAILURE,9,4,3,0.3967,13.34,True,2026-08-20T08:03:42.131498+00:00
inc-127,cust_1327,mch_demo,1172500,INR,card,VIP,BANK_DECLINE,4,0,3,0.3156,45.38,True,2026-08-13T02:03:42.131498+00:00
inc-128,cust_1123,mch_demo,49900,INR,card,VIP,CARD_BLOCKED,11,5,0,0.3102,40.55,True,2026-08-14T12:03:42.131498+00:00
inc-129,cust_1283,mch_demo,1768400,INR,card,VIP,CARD_EXPIRED,30,0,3,0.6744,70.75,False,2026-08-11T05:03:42.131498+00:00
inc-130,cust_1053,mch_demo,997900,INR,card,PREMIUM,CARD_EXPIRED,8,0,2,0.3396,42.04,False,2026-08-08T15:03:42.131498+00:00
inc-131,cust_1323,mch_demo,22180400,INR,upi,STANDARD,CARD_BLOCKED,4,5,3,0.6067,8.44,False,2026-08-11T19:03:42.131498+00:00
inc-132,cust_1417,mch_demo,538400,INR,card,VIP,INSUFFICIENT_FUNDS,16,0,1,0.3236,24.88,False,2026-08-13T13:03:42.131498+00:00
inc-133,cust_1455,mch_demo,102000,INR,wallet,VIP,MANDATE_FAILURE,24,2,1,0.3003,38.75,False,2026-08-12T17:03:42.131498+00:00
inc-134,cust_1220,mch_demo,6846800,INR,card,STANDARD,NETWORK_TIMEOUT,34,2,2,0.5906,12.77,False,2026-08-20T08:03:42.131498+00:00
inc-135,cust_1085,mch_demo,1737900,INR,card,VIP,NETWORK_TIMEOUT,22,3,0,0.3186,53.97,False,2026-08-12T22:03:42.131498+00:00
inc-136,cust_1262,mch_demo,1807300,INR,card,STANDARD,INSUFFICIENT_FUNDS,1,1,3,0.1913,8.3,False,2026-08-14T06:03:42.131498+00:00
inc-137,cust_1486,mch_demo,137200,INR,card,STANDARD,BANK_DECLINE,38,1,3,0.5782,68.62,False,2026-08-13T20:03:42.131498+00:00
inc-138,cust_1142,mch_demo,1909700,INR,upi,STANDARD,CARD_BLOCKED,1,5,1,0.4412,38.94,False,2026-08-08T04:03:42.131498+00:00
inc-139,cust_1109,mch_demo,2541200,INR,card,PREMIUM,PROCESSOR_ERROR,31,1,0,0.2148,14.96,False,2026-08-12T12:03:42.131498+00:00
inc-140,cust_1341,mch_demo,113100,INR,netbanking,STANDARD,AUTHENTICATION_FAILURE,35,4,2,0.6985,64.83,False,2026-08-15T05:03:42.131498+00:00
inc-141,cust_1102,mch_demo,376500,INR,upi,STANDARD,CARD_BLOCKED,31,0,2,0.5865,42.57,False,2026-08-19T10:03:42.131498+00:00
inc-142,cust_1203,mch_demo,1329000,INR,card,VIP,CARD_BLOCKED,33,3,3,0.4866,60.34,True,2026-08-15T10:03:42.131498+00:00
inc-143,cust_1238,mch_demo,160300,INR,card,PREMIUM,CARD_BLOCKED,8,4,1,0.6848,56.67,False,2026-08-12T10:03:42.131498+00:00
inc-144,cust_1084,mch_demo,189800,INR,upi,PREMIUM,INSUFFICIENT_FUNDS,14,2,2,0.6073,61.83,False,2026-08-15T13:03:42.131498+00:00
inc-145,cust_1320,mch_demo,1108200,INR,netbanking,STANDARD,BANK_DECLINE,32,5,1,0.4993,45.06,False,2026-08-19T08:03:42.131498+00:00
inc-146,cust_1422,mch_demo,16494500,INR,card,STANDARD,UNKNOWN,2,5,2,0.3357,48.97,False,2026-08-21T03:03:42.131498+00:00
inc-147,cust_1279,mch_demo,17175300,INR,netbanking,PREMIUM,CHECKOUT_ABANDONED,30,1,3,0.49,25.63,True,2026-08-08T15:03:42.131498+00:00
inc-148,cust_1073,mch_demo,145900,INR,netbanking,PREMIUM,CHECKOUT_ABANDONED,22,3,1,0.4163,56.2,False,2026-08-09T02:03:42.131498+00:00
inc-149,cust_1136,mch_demo,9347600,INR,wallet,STANDARD,PROCESSOR_ERROR,9,0,0,0.2084,25.15,False,2026-08-19T10:03:42.131498+00:00
inc-150,cust_1097,mch_demo,2705100,INR,upi,VIP,CARD_BLOCKED,32,3,3,0.5974,64.02,False,2026-08-15T08:03:42.131498+00:00
inc-151,cust_1494,mch_demo,7247000,INR,upi,STANDARD,INSUFFICIENT_FUNDS,37,2,0,0.1995,9.34,False,2026-08-12T06:03:42.131498+00:00
inc-152,cust_1220,mch_demo,6489000,INR,upi,PREMIUM,AUTHENTICATION_FAILURE,23,3,2,0.3072,8.99,True,2026-08-19T17:03:42.131498+00:00
inc-153,cust_1037,mch_demo,86600,INR,wallet,VIP,UNKNOWN,35,2,0,0.459,14.49,False,2026-08-15T21:03:42.131498+00:00
inc-154,cust_1101,mch_demo,166300,INR,card,VIP,MANDATE_FAILURE,32,0,0,0.4568,8.57,False,2026-08-18T23:03:42.131498+00:00
inc-155,cust_1310,mch_demo,49999900,INR,card,STANDARD,MANDATE_FAILURE,20,4,2,0.5922,16.73,False,2026-08-18T20:03:42.131498+00:00
inc-156,cust_1362,mch_demo,19864100,INR,card,PREMIUM,MANDATE_FAILURE,30,0,2,0.429,27.86,False,2026-08-11T14:03:42.131498+00:00
inc-157,cust_1013,mch_demo,179700,INR,card,VIP,CHECKOUT_ABANDONED,16,5,1,0.471,53.61,False,2026-08-08T14:03:42.131498+00:00
inc-158,cust_1016,mch_demo,12822400,INR,card,STANDARD,UNKNOWN,12,0,3,0.576,26.7,False,2026-08-16T20:03:42.131498+00:00
inc-159,cust_1471,mch_demo,254300,INR,wallet,STANDARD,CHECKOUT_ABANDONED,8,4,1,0.5298,43.02,False,2026-08-08T23:03:42.131498+00:00
inc-160,cust_1181,mch_demo,30952800,INR,card,PREMIUM,CARD_BLOCKED,39,3,1,0.4028,69.18,False,2026-08-10T09:03:42.131498+00:00
inc-161,cust_1394,mch_demo,1015700,INR,netbanking,STANDARD,PROCESSOR_ERROR,31,2,3,0.3142,29.02,False,2026-08-15T16:03:42.131498+00:00
inc-162,cust_1488,mch_demo,963000,INR,upi,PREMIUM,PROCESSOR_ERROR,2,2,0,0.3588,28.86,False,2026-08-14T16:03:42.131498+00:00
inc-163,cust_1138,mch_demo,5761100,INR,card,PREMIUM,NETWORK_TIMEOUT,8,0,1,0.561,22.0,False,2026-08-10T13:03:42.131498+00:00
inc-164,cust_1051,mch_demo,37486200,INR,card,STANDARD,BANK_DECLINE,0,4,1,0.1789,32.86,False,2026-08-11T23:03:42.131498+00:00
inc-165,cust_1164,mch_demo,7614600,INR,netbanking,STANDARD,AUTHENTICATION_FAILURE,5,5,1,0.5078,41.32,False,2026-08-15T21:03:42.131498+00:00
inc-166,cust_1403,mch_demo,106200,INR,wallet,STANDARD,CARD_BLOCKED,18,0,0,0.6637,25.69,True,2026-08-13T13:03:42.131498+00:00
inc-167,cust_1328,mch_demo,19227700,INR,card,VIP,CARD_EXPIRED,8,4,3,0.6607,24.01,False,2026-08-12T08:03:42.131498+00:00
